,Carro ,Placa
DIA,DESCRIÇAO ,Valor a Pagar 
24 fev.,FASTRAK ,$ 587.85
24 fev.,PAGO ,-$ 300.00
10 mar.,GASOLINA ,$ 16.00
11 mar.,PAGO ,-$ 180.00
11 mar.,PAGO ,-$ 123.85
15 mar.,FASTRAK ,$ 8.00
30 abr.,FASTRAK ,$ 34.00
15 mai.,FASTRAK ,$ 26.00
Saldo Devedor ,,$ 68.00
