Dia ,Obs ,Fotos ,Gastos $
13 nov.,COMPRA ,AAA,$	1357.90
19 nov.,GASOLINA ,,$	100.00
19 nov.,LANCHE,,$	50.00
26 nov.,FUNELARIA ,,$	2000.00
11 dez.,BRAKE LIT,,$	200.00
11 dez.,BATER KEY ,,$	12.00
11 dez.,VELA FILT,,$	91.00
11 dez.,RAIONE ,,$	100.00
12 dez.,PURG VALV,,$	56.00
1 fev.,SMOG ,,$	40.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Total ,,,$	4006.90
