Dia ,Obs ,Fotos ,Gastos $
13 fev.,OLEO ,,32
23 fev.,ADTIVO ,,$	18.00
26 fev.,OLEO MT ,,$	50.00
26 fev.,OLEO TRAS ,,$	80.00
26 fev.,PALHETAS ,,$	22.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Total ,,,$	202.00
