,Carro ,Placa
DIA,DESCRIÇAO ,VALOR 
12 set. 25,JUMPER ,$ 70.00
12 set. 25,2 PNEUS NOVOS ,$ 220.00
12 set. 25,FREIO FLEX,$ 308.00
22 dez.,PAGO ,-$ 530.00
Saldo Devedor ,,$ 68.00
