Dia ,Obs ,Fotos ,Gastos $
12 fev.,Compra ,,$	2748.00
13 fev.,fee,,$	30.00
13 fev.,Óleo ,,$	18.00
13 fev.,Óleo trasn,,$	40.00
12 fev.,Deeeler ,,$	150.00
15 fev.,Lava motor ,,$	8.00
15 fev.,Aspirar ,,$	1.00
16 fev.,AirTag ,,$	30.00
24 fev.,Palheta ,,$	20.00
4 fev.,Limp vidro ,,$	2.00
21 mar.,Doc trans ,,$	170.00
,,,
,,,
,,,
,,,
,,,
,,,
Total ,,,$	3217.00
