,Carro ,Placa
DIA,DESCRIÇAO ,VALOR 
14 mar.,MULTA ,-$ 113.50
16 mar.,FASTRAK ,-$ 8.00
11 mar.,PAGO ,$ 50.00
18 mar.,PAGO ,$ 58.00
19 mar.,FASTRAK ,-$ 23.00
25 mar.,PAGO ,$ 50.00
1 abr.,PAGO ,$ 14.00
4 abr.,FASTRAK ,-$ 8.00
8 abr.,PAGO ,$ 8.00
17 abr.,FASTRAK ,-$ 8.00
21 abr.,PAGO ,$ 8.00
6 mai.,FASTRAK ,-$ 8.00
31 jul.,LICENCIAMENTO ,-$ 162.00
,,
,,
,,
,,
Saldo Devedor ,,-$ 142.50
