Dia ,Obs ,Fotos ,Gastos $
12 ago.,COMPRA ,,$	1550.00
12 ago.,TAXAS ,,$	702.00
12 ago.,PISCA D ,,$	34.00
12 ago.,DEELER ,,$	200.00
13 ago.,LAVAGEM ,,$	10.00
13 ago.,OLEO MOT,,$	50.00
14 ago.,AIRTAG,,$	30.00
14 ago.,PALHETAS ,,$	20.00
15 ago.,LAMPADAS ,,$	28.00
15 ago.,LAMP EX ,,$	9.00
15 ago.,SMOG ,,$	50.00
set. 10,TRASNFERENCIA ,,$	365.00
set. 13,BREAK LIGTH,,$	140.00
20 set.,ALINHAMENTO ,,$	50.00
20 set.,SPEED SENSOR ,,$	120.00
,,,
,,,
Total ,,,$	3358.00
