,Carro ,Placa
DIA,DESCRIÇAO ,VALOR 
26 ago.,Seguro ,$ 190.00
23 set.,PAGO ,-$ 210.00
26 set.,Seguro ,$ 190.00
26 out.,Seguro ,$ 190.00
29 out.,PAGO ,-$ 180.00
26 nov.,Seguro ,$ 190.00
28 nov.,PAGO ,-$ 180.00
26 dez.,Seguro ,$ 190.00
28 dez.,PAGO ,-$ 290.00
28 jan.,PAGO ,-$ 190.00
26 jan.,Seguro ,$ 190.00
26 fev.,Seguro ,$ 95.00
13 mar.,SEGURO DELE ,
Saldo Devedor ,,$ 185.00
