Dia ,Obs ,Fotos ,Gastos $
29 out.,COMPRA ,,$	722.00
29 out.,DEELER ,,$	200.00
29 out.,SMOG ,,$	50.00
29 out.,LAVAGEM ,,$	14.00
29 out.,GASOLINA ,,$	20.00
29 out.,LAV MOTOR,,$	11.00
3 nov.,Brackets ,,$	21.00
2 dez.,GASOLINA ,,$	20.00
2 dez.,TRASNFERENCIA ,,$	250.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Total ,,,$	1308.00
