DIA ,OBS ,DESPESAS ,RECEBIDOS 
2015,PRESENTE PAI ,,
2021,IPTU ,R$ 425.00,
2020,IPTU ,R$ 315.00,
2019,IPTU ,R$ 334.00,
2017,IPTU 2017 e 2018 ,R$ 959.00,
2023,IPTU 2022 e 2023,R$ 302.00,
19 fev.,Cartório ,R$ 274.00,
11 mar.,IPTU 2024 ,R$ 116.00,
18 jan. 25,Afonso - grama,R$ 200.00,
19 fev.,Iptu 2025,R$ 121.51,
3 mai. 25,Afonso - grama,R$ 200.00,
6 set. 25,Afonso - grama,R$ 200.00,
22 mar. 26,Afonso - grama,R$ 200.00,
11 mar. 26,IPTU 2026,R$ 128.00,
Total ,,R$ 3774.51,R$ 0.00
