DIA ,OBS ,DESPESAS ,RECEBIDOS 
,Compra ,,
12 mar.,TAXES - 2024,$ 116.00,
9 mai. 23,TAXES - 2023,$ 116.00,
25 mai. 26,TaxES 2025,$ 120.00,
,,,
,,,
,,,
,,,
,,,
Total ,,$ 352.00,
