Dia ,Obs ,Fotos ,Gastos $,Recebidos 
jun. 15,COMPRA ,,R$	12500.00,
jun. 15,LAUDO ,,R$	150.00,
junho,COMISSAO ,,R$	350.00,
jun. 11,TRANSFERENCIA ,,R$	414.00,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total ,,,R$	13414.00,$	0.00
