16/07/2023,C-MAX ,9FSM563,OBS 
julho 17,FLEXIVEL,$ 33.90,
julho 19,PNEUS ,$ 220.00,RITO 
,MAO DE OBRA ,$ 85.00,F3
julho 20,TAMPA FORD ,$ 15.00,EBAY 
,BUMPER ,$ 350.00,
,FAROL DE MILHA ,$ 36.00,
,LAMPADA ,$ 14.00,
julho 18,GASOLINA ,$ 60.00,COSTCO 
,LAVAGEM ,$ 33.00,CAR WASH 
TOTAL ,,$ 846.90,
