Dia ,Obs ,Fotos ,Gastos $,Recebidos 
ago. 2,COMPRA ,,$	2830.00,
ago. 5,GUNCHO ,,$	350.00,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total ,,,$	3180.00,$	0.00
