Dia ,Obs ,Fotos ,Gastos $,Recebidos 
ago. 30,COMPRA ,,$	3968.00,
ago. 30,TAPETE ,,$	63.00,
ago. 30,CHAVE RESERVA ,,$	71.00,
ago. 30,MACACO ,,$	53.00,
ago. 30,KIT REPARO ,,$	7.00,
ago. 30,ALICATE ,,$	3.00,
ago. 30,COMPRESSOR ,,$	12.00,
ago. 30,JUMPER ,,$	65.00,
ago. 30,TAG ,,$	30.00,
ago. 30,GUINCHO ,,$	400.00,
set. 24,PECAS ,,$	71.00,
set. 28,ACABAMENTO CROMADO ,,$	40.00,
,,,,
,,,,
,,,,
,,,,
,,,,
Total ,,,$	4783.00,$	0.00
