Dia ,Obs ,Fotos ,Gastos $,Recebidos 
ago. 7,COMPRA ,,$	3980.00,
ago. 8,GUINCHO ,,$	300.00,
ago. 8,CHAVE ,,$	71.00,
ago. 8,MACACO ,,$	53.00,
ago. 8,KIT REPARO ,,$	7.00,
ago. 8,ALICATE ,,$	3.00,
ago. 8,"COM,PRESSOR ",,$	12.00,
ago. 8,JUMPER ,,$	65.00,
ago. 8,TAG ,,$	30.00,
ago. 21,FUNELARIA ,,$	2000.00,
ago. 29,TAPETE ,,$	63.00,
ago. 29,BUMPER ,,$	392.00,
set. 25,Farol ,,$	1016.38,
set. 27,Pecas ,,$	170.00,
set. 29,Grade ,,$	175.00,
,,,,
,,,,
Total ,,,$	8337.38,$	0.00
