Dia ,C-MAX ,
01/08/2023,FASTRAK ,$ 7.00
01/08/2023,FASTRAK ,$ 162.75
10/08/2023,FASTRAK ,$ 56.00
10/08/2023,FASTRAK ,$ 77.75
01/08/2023,SEMANA,$ 280.00
07/08/2023,SEMANA,$ 280.00
18/08/2023,Pago FASTRAK,-$ 100.00
18/08/2024,Pago 1 SEMANA,-$ 280.00
20/08/2023,FASTRAK ,$ 85.75
Saldo Devedor ,,$ 569.25
